latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
22.35767,82.30482,338.56,0.56,0.69,2026-06-01,0835,N20,VIIRS,n,2.0NRT,298.42,5.03,D
22.35354,82.30489,336.24,0.56,0.69,2026-06-01,0835,N20,VIIRS,n,2.0NRT,298.57,5.37,D
22.33102,82.60535,302.99,0.56,0.69,2026-06-01,1921,N20,VIIRS,n,2.0NRT,286.46,0.91,N
22.31525,82.55936,302.89,0.57,0.69,2026-06-01,1921,N20,VIIRS,n,2.0NRT,285.2,1.05,N
22.31395,82.53117,308.87,0.56,0.69,2026-06-01,2101,N20,VIIRS,n,2.0NRT,289.38,2.02,N
22.35476,82.30474,306.29,0.54,0.68,2026-06-01,2101,N20,VIIRS,n,2.0NRT,288.26,2.24,N
22.31754,82.53381,306.93,0.56,0.69,2026-06-01,2101,N20,VIIRS,n,2.0NRT,289.64,3.56,N
22.33427,82.57287,318.91,0.56,0.69,2026-06-01,2101,N20,VIIRS,n,2.0NRT,289.3,3.2,N
22.36094,82.30289,311.32,0.54,0.68,2026-06-01,2101,N20,VIIRS,n,2.0NRT,288.56,2.56,N
22.35485,82.30133,320.39,0.54,0.68,2026-06-01,2101,N20,VIIRS,n,2.0NRT,287.59,2.56,N
22.31885,82.53814,304.7,0.56,0.69,2026-06-01,2101,N20,VIIRS,n,2.0NRT,289.37,2.74,N
22.35495,82.30235,341.26,0.55,0.51,2026-06-02,0816,N20,VIIRS,n,2.0NRT,301,9.26,D
22.18405,82.47647,332.16,0.57,0.52,2026-06-02,0816,N20,VIIRS,n,2.0NRT,301.31,5.52,D
22.18873,82.46857,335.13,0.57,0.52,2026-06-02,0816,N20,VIIRS,n,2.0NRT,302.99,6.28,D
22.33016,82.57346,332.44,0.58,0.52,2026-06-02,0816,N20,VIIRS,n,2.0NRT,296.85,5.84,D
22.33222,82.57325,325.15,0.56,0.52,2026-06-02,2044,N20,VIIRS,n,2.0NRT,292.2,3.91,N
22.33556,82.57244,312.06,0.56,0.52,2026-06-02,2044,N20,VIIRS,n,2.0NRT,291.65,1.65,N
22.33091,82.57127,315.51,0.56,0.52,2026-06-02,2044,N20,VIIRS,n,2.0NRT,291.84,1.65,N
22.31897,82.53442,305.05,0.56,0.52,2026-06-02,2044,N20,VIIRS,n,2.0NRT,292.16,1.88,N
22.31432,82.53333,308.84,0.56,0.52,2026-06-02,2044,N20,VIIRS,n,2.0NRT,292.6,2.97,N
22.3573,82.30175,331.63,0.54,0.51,2026-06-02,2044,N20,VIIRS,n,2.0NRT,294.06,4.97,N
22.17416,82.98404,339.37,0.48,0.4,2026-06-03,0756,N20,VIIRS,n,2.0NRT,301.16,14.83,D
22.19894,82.9481,332.67,0.48,0.4,2026-06-03,0756,N20,VIIRS,n,2.0NRT,302.11,2.71,D
22.3318,82.57362,342.05,0.46,0.39,2026-06-03,0756,N20,VIIRS,n,2.0NRT,304.75,3.94,D
22.35591,82.3014,341.41,0.45,0.39,2026-06-03,0756,N20,VIIRS,l,2.0NRT,311.97,6.8,D
22.33473,82.57349,320.71,0.46,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,294.7,2.35,N
22.33276,82.60478,313.18,0.46,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,294.58,3.7,N
22.33118,82.57276,324.15,0.46,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,295.31,2.35,N
22.34103,82.4979,308.52,0.45,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,294.27,0.87,N
22.34146,82.4994,310.42,0.45,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,294.33,3.38,N
22.31856,82.56695,311.77,0.46,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,295.6,5.31,N
22.31963,82.54003,309.21,0.46,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,295.4,4.2,N
22.35774,82.30222,335.63,0.44,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,297.28,8.61,N
22.31685,82.53494,317.19,0.46,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,296.02,6.3,N
22.31638,82.51678,309.74,0.45,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,296.21,4.48,N
22.31407,82.52986,311.61,0.45,0.39,2026-06-03,2025,N20,VIIRS,n,2.0NRT,295.91,5.69,N
22.35699,82.30351,342.58,0.4,0.37,2026-06-04,0737,N20,VIIRS,l,2.0NRT,309.53,7.91,D
22.33173,82.60754,333.55,0.43,0.46,2026-06-05,0720,N20,VIIRS,n,2.0NRT,302.05,3.49,D
22.33048,82.60762,333.19,0.43,0.46,2026-06-05,0720,N20,VIIRS,n,2.0NRT,300.68,2.73,D
