latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,label,cluster_id,distinct_days,distance_to_industrial_m,distance_to_farmland_m,historical_mean_frp,historical_max_frp,historical_std_frp,frp_deviation,night_detection_ratio,class_label,ndvi,ndbi,ndwi,alert_flag,ml_predicted_label,ml_confidence,distance_to_residential_m,risk_points,risk_score,escalation_status
22.11777,82.61755,335.15,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,303.34,15.85,D,0.0,unclassified,0,1,7877.1,31154.8,12.251666666666663,15.85,4.891038403720284,1.2937,0.0,Natural Fire,0.2579,0.1253,-0.3787,Normal,Natural Fire,0.9984,19480.1,0,Low,Stable
22.12267,82.6207,341.56,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,305.72,15.85,D,0.0,unclassified,0,1,7604.5,30706.5,12.251666666666663,15.85,4.891038403720284,1.2937,0.0,Natural Fire,0.1879,0.1994,-0.3222,Normal,Natural Fire,0.9997,19034.3,0,Low,Stable
22.12191,82.61665,351.74,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,314.46,15.85,D,0.0,unclassified,0,1,8008.9,30687.4,12.251666666666663,15.85,4.891038403720284,1.2937,0.0,Natural Fire,0.1274,0.2713,-0.2409,Normal,Natural Fire,0.9997,19012.7,0,Low,Stable
22.12114,82.61259,342.74,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,308.33,13.94,D,0.0,unclassified,0,1,8416.4,30675.0,12.251666666666663,15.85,4.891038403720284,1.1378,0.0,Natural Fire,0.2109,0.1469,-0.2888,Normal,Natural Fire,0.9997,19001.5,0,Low,Stable
22.12604,82.61574,344.88,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,307.28,6.01,D,0.0,unclassified,0,1,8165.7,30220.8,12.251666666666663,15.85,4.891038403720284,0.4905,0.0,Natural Fire,unavailable,unavailable,unavailable,Normal,Natural Fire,0.9994,18546.2,0,Low,Stable
22.1268,82.61979,335.42,0.43,0.46,2026-03-01,718,N20,VIIRS,l,2,308.42,6.01,D,0.0,unclassified,0,1,7766.2,30240.2,12.251666666666663,15.85,4.891038403720284,0.4905,0.0,Natural Fire,unavailable,unavailable,unavailable,Normal,Natural Fire,0.9988,18568.3,0,Low,Stable
22.3111,82.53024,343.73,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,306.37,6.02,D,2.0,industrial_nearby,1,98,195.5,9044.0,2.508492063492064,11.71,1.680059238942467,2.3998,0.9232804232804231,Industrial,unavailable,unavailable,unavailable,Normal,Industrial,0.9993,355.0,6,High,Stable
22.32988,82.60644,340.14,0.42,0.45,2026-03-01,718,N20,VIIRS,n,2,305.96,5.0,D,2.0,industrial_direct,5,73,0.0,9133.2,2.765913043478261,15.28,2.376793836187871,1.8077,0.8260869565217391,Industrial,unavailable,unavailable,unavailable,Normal,Industrial,0.9987,285.0,6,High,Stable
22.37384,82.81679,336.49,0.41,0.45,2026-03-01,718,N20,VIIRS,n,2,302.1,4.13,D,0.0,unclassified,-1,0,6729.4,12104.1,,,,,,Natural Fire,unavailable,unavailable,unavailable,Normal,Natural Fire,0.9998,8226.9,0,Low,Stable
22.33273,82.57613,336.63,0.42,0.46,2026-03-01,718,N20,VIIRS,n,2,306.35,3.01,D,2.0,industrial_direct,3,71,0.0,7144.3,2.7918248175182483,11.59,1.9379155034462177,1.0781,0.8394160583941606,Industrial,unavailable,unavailable,unavailable,Normal,Industrial,0.9997,1606.7,4,Medium,Stable
