latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,label,cluster_id,distinct_days
22.11777,82.61755,335.15,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,303.34,15.85,D,0.0,unclassified,0,1
22.31284,82.53032,304.74,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,294.45,1.81,N,2.0,industrial_nearby,1,98
22.31333,82.52609,328.86,0.44,0.46,2026-03-01,1946,N20,VIIRS,n,2,294.77,3.26,N,2.0,industrial_direct,1,98
22.31656,82.53515,308.28,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,295.34,1.26,N,2.0,industrial_direct,1,98
22.31706,82.53094,309.21,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,296.44,1.26,N,2.0,industrial_direct,1,98
22.31679,82.56947,303.29,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,293.11,0.91,N,0.0,industrial_nearby,1,98
22.35712,82.30097,306.96,0.45,0.47,2026-03-01,1946,N20,VIIRS,n,2,293.05,1.51,N,2.0,industrial_direct,2,96
22.36141,82.30161,307.12,0.45,0.47,2026-03-01,1946,N20,VIIRS,n,2,293.43,1.61,N,2.0,industrial_direct,2,96
22.33318,82.57576,307.97,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,293.94,0.93,N,2.0,industrial_direct,3,71
22.33566,82.55504,306.38,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,293.47,1.08,N,0.0,industrial_direct,4,61
22.32965,82.60517,326.16,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,294.18,2.32,N,2.0,industrial_direct,5,73
22.33385,82.60577,311.6,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,294.17,1.0,N,2.0,industrial_direct,5,73
22.33739,82.57636,309.49,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,294.08,1.31,N,2.0,industrial_direct,3,71
22.3566,82.30535,312.38,0.45,0.47,2026-03-01,1946,N20,VIIRS,n,2,293.53,1.51,N,2.0,industrial_direct,2,96
22.44469,82.68317,305.96,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,292.19,0.8,N,0.0,unclassified,-1,0
22.33789,82.57217,310.07,0.43,0.46,2026-03-01,1946,N20,VIIRS,n,2,293.39,1.35,N,2.0,industrial_direct,3,71
22.12267,82.6207,341.56,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,305.72,15.85,D,0.0,unclassified,0,1
22.12191,82.61665,351.74,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,314.46,15.85,D,0.0,unclassified,0,1
22.12114,82.61259,342.74,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,308.33,13.94,D,0.0,unclassified,0,1
22.12604,82.61574,344.88,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,307.28,6.01,D,0.0,unclassified,0,1
22.1268,82.61979,335.42,0.43,0.46,2026-03-01,718,N20,VIIRS,l,2,308.42,6.01,D,0.0,unclassified,0,1
22.3111,82.53024,343.73,0.43,0.46,2026-03-01,718,N20,VIIRS,n,2,306.37,6.02,D,2.0,industrial_nearby,1,98
22.32988,82.60644,340.14,0.42,0.45,2026-03-01,718,N20,VIIRS,n,2,305.96,5.0,D,2.0,industrial_direct,5,73
22.37384,82.81679,336.49,0.41,0.45,2026-03-01,718,N20,VIIRS,n,2,302.1,4.13,D,0.0,unclassified,-1,0
22.33273,82.57613,336.63,0.42,0.46,2026-03-01,718,N20,VIIRS,n,2,306.35,3.01,D,2.0,industrial_direct,3,71
22.50167,82.60797,332.98,0.42,0.45,2026-03-01,718,N20,VIIRS,l,2,307.41,2.12,D,0.0,industrial_nearby,-1,0
22.28705,83.09211,330.54,0.4,0.44,2026-03-01,718,N20,VIIRS,l,2,302.11,2.62,D,0.0,unclassified,-1,0
22.3589,82.30583,303.8,0.45,0.63,2026-03-02,1927,N20,VIIRS,n,2,290.54,1.2,N,2.0,industrial_direct,2,96
22.31765,82.51304,303.47,0.44,0.62,2026-03-02,1927,N20,VIIRS,n,2,291.2,2.01,N,0.0,industrial_direct,1,98
22.3358,82.57087,310.76,0.44,0.62,2026-03-02,1927,N20,VIIRS,n,2,291.58,1.97,N,0.0,industrial_direct,3,71
22.33279,82.6051,312.48,0.43,0.62,2026-03-02,1927,N20,VIIRS,n,2,292.59,2.14,N,2.0,industrial_direct,5,73
22.3334,82.53215,304.16,0.44,0.62,2026-03-02,1927,N20,VIIRS,n,2,293.4,0.94,N,2.0,industrial_direct,6,16
22.31856,82.56945,307.1,0.44,0.62,2026-03-02,1927,N20,VIIRS,n,2,292.65,1.32,N,0.0,industrial_direct,1,98
22.3163,82.51382,306.17,0.44,0.62,2026-03-02,1927,N20,VIIRS,n,2,291.12,1.81,N,2.0,industrial_direct,1,98
22.31623,82.52551,305.32,0.72,0.76,2026-03-02,2108,N20,VIIRS,n,2,292.01,3.11,N,2.0,industrial_direct,1,98
22.33301,82.57486,304.18,0.73,0.76,2026-03-02,2108,N20,VIIRS,n,2,290.61,1.75,N,2.0,industrial_direct,3,71
22.32147,82.56343,300.97,0.72,0.76,2026-03-02,2108,N20,VIIRS,n,2,290.82,2.15,N,2.0,industrial_direct,1,98
