row_index,latitude,longitude,acq_date,class_label,frp,pilot_category,ndvi,ndbi,ndwi,status
0,22.11777,82.61755,2026-03-01,Natural Fire,15.85,Natural Fire Baseline,0.2579,0.1253,-0.3787,Success
14,22.44469,82.68317,2026-03-01,Natural Fire,0.8,Natural Fire Baseline,0.2218,0.1693,-0.3496,Success
16,22.12267,82.6207,2026-03-01,Natural Fire,15.85,Natural Fire Baseline,0.1879,0.1994,-0.3222,Success
17,22.12191,82.61665,2026-03-01,Natural Fire,15.85,Natural Fire Baseline,0.1274,0.2713,-0.2409,Success
18,22.12114,82.61259,2026-03-01,Natural Fire,13.94,Natural Fire Baseline,0.2109,0.1469,-0.2888,Success
113,22.32956,82.60545,2026-03-04,Industrial,15.28,Abnormal FRP Spike,0.0813,0.3543,-0.1941,Success
140,22.32946,82.60616,2026-03-05,Industrial,15.02,Abnormal FRP Spike,0.0799,0.3595,-0.1942,Success
792,22.35304,82.31033,2026-03-26,Industrial,16.54,Abnormal FRP Spike,0.3672,0.083,-0.4201,Success
793,22.34967,82.31088,2026-03-26,Industrial,26.78,Abnormal FRP Spike,0.2911,0.1168,-0.3931,Success
794,22.35023,82.31476,2026-03-26,Industrial,18.81,Abnormal FRP Spike,0.4261,0.075,-0.4926,Success
1467,22.31734,82.53887,2026-04-26,Industrial,8.44,Top Distinct Days,0.081,0.1971,-0.1659,Success
1497,22.33491,82.55666,2026-04-27,Industrial,13.9,Abnormal FRP Spike,0.1397,0.2407,-0.2459,Success
1504,22.33037,82.57345,2026-04-27,Industrial,11.52,Abnormal FRP Spike,0.1452,0.2803,-0.25,Success
1602,22.33222,82.57551,2026-05-07,Industrial,11.59,Abnormal FRP Spike,0.0766,0.242,-0.1614,Success
1689,22.31414,82.54921,2026-05-18,Industrial,9.08,Top Distinct Days,0.0813,0.1647,-0.1395,Success
1835,22.35625,82.30447,2026-06-08,Industrial,18.51,Abnormal FRP Spike,0.0437,0.2393,-0.1247,Success
1912,22.31529,82.53471,2026-06-24,Industrial,8.58,Top Distinct Days,0.133,0.1738,-0.2342,Success
1921,22.31462,82.53232,2026-06-24,Industrial,9.65,Top Distinct Days,0.1231,0.1971,-0.2175,Success
1924,22.3217,82.54557,2026-06-24,Industrial,11.71,Abnormal FRP Spike,0.0849,0.2655,-0.142,Success
