latitude,longitude,acq_date,frp,confidence,type,distinct_days,distance_to_industrial_m,distance_to_farmland_m,frp_deviation
22.50167,82.60797,2026-03-01,2.12,l,0.0,0,675.8,13170.5,
22.34526,82.74861,2026-03-03,1.45,l,0.0,0,436.1,10057.1,
22.36832,82.30564,2026-03-04,5.43,l,0.0,0,317.1,24933.7,
22.10792,82.69037,2026-03-05,7.65,n,0.0,1,726.2,26865.4,1.4956
22.11122,82.6898,2026-03-05,2.58,l,0.0,1,490.8,26651.8,0.5044
22.32659,82.78618,2026-03-06,4.29,n,0.0,1,844.2,10607.3,1.1933
22.503,82.60193,2026-03-07,4.88,h,0.0,2,578.8,13033.4,1.0966
22.32568,82.75607,2026-03-12,5.33,l,0.0,0,455.4,12357.3,
22.30785,82.5673,2026-03-14,8.73,n,0.0,1,719.5,9480.7,1.0988
22.30882,82.56448,2026-03-14,7.16,n,0.0,1,640.9,9314.8,0.9012
22.49928,82.59985,2026-03-26,4.02,l,0.0,2,239.4,12569.9,0.9034
22.3242,82.52724,2026-03-27,1.16,n,0.0,4,0.0,7699.3,0.336
22.32631,82.52733,2026-03-29,2.63,n,0.0,4,0.0,7471.5,0.7617
22.31992,82.75481,2026-03-30,4.62,n,0.0,0,256.5,12915.5,
22.32575,82.52751,2026-03-31,2.46,n,0.0,4,0.0,7526.4,0.7125
22.32397,82.53069,2026-04-01,5.13,n,0.0,4,0.0,7639.0,1.4857
22.32454,82.52686,2026-04-01,3.35,n,0.0,4,0.0,7673.3,0.9702
22.32427,82.53138,2026-04-01,4.16,l,0.0,4,0.0,7591.4,1.2048
22.32365,82.52757,2026-04-01,5.28,l,0.0,4,0.0,7749.3,1.5292
22.41832,82.67875,2026-04-02,3.6,l,0.0,0,100.3,3896.7,
22.30125,82.72855,2026-04-02,8.55,l,0.0,1,967.4,14369.4,1.0
22.30202,82.73258,2026-04-02,8.55,l,0.0,1,792.6,14333.1,1.0
22.46211,82.52048,2026-04-05,7.76,n,0.0,0,750.3,7937.7,
22.32724,82.66224,2026-04-06,3.03,n,0.0,2,0.0,12613.7,0.9154
22.33772,82.66608,2026-04-10,0.63,n,0.0,8,0.0,11395.9,0.2611
22.40056,82.67174,2026-04-10,5.94,n,0.0,0,537.6,5486.0,
22.33765,82.66604,2026-04-11,1.74,n,0.0,8,0.0,11404.7,0.7211
22.39668,82.69278,2026-04-11,5.8,n,0.0,0,160.3,4337.3,
22.34428,82.75396,2026-04-12,7.86,l,0.0,0,448.0,10361.9,
22.3372,82.66414,2026-04-15,2.02,n,0.0,8,0.0,11535.9,0.8371
22.3741,82.64095,2026-04-15,3.13,n,0.0,0,972.3,9601.6,
22.33722,82.66351,2026-04-16,1.87,n,0.0,8,0.0,11563.1,0.775
22.34439,82.55968,2026-04-22,5.77,n,0.0,0,2.3,5363.3,
22.33605,82.64864,2026-04-24,0.95,n,0.0,0,0.0,11997.8,
22.12581,82.6973,2026-04-25,5.59,n,0.0,0,469.6,24980.1,
22.32754,82.51517,2026-04-27,1.56,n,0.0,7,0.0,7776.0,0.7811
22.33803,82.66823,2026-04-27,2.99,n,0.0,8,0.0,11270.0,1.2391
22.32603,82.51459,2026-04-28,4.37,n,0.0,7,0.0,7952.9,2.1881
22.33668,82.669,2026-04-28,6.07,l,0.0,8,0.0,11373.0,2.5155
22.33595,82.66477,2026-04-28,6.07,l,0.0,8,0.0,11631.2,2.5155
22.40005,82.72228,2026-04-29,6.84,l,0.0,0,271.9,3452.0,
22.3317,82.6891,2026-05-01,2.01,n,0.0,3,229.9,11227.2,1.2036
