latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
30.20249,75.99736,332.01,0.43,0.38,2025-10-01,0748,N20,VIIRS,n,2,298.99,2.75,D,0
29.60012,76.00414,341.04,0.45,0.39,2025-10-05,0813,N20,VIIRS,n,2,300.03,5.12,D,0
29.7611,76.00002,330.6,0.45,0.39,2025-10-05,0813,N20,VIIRS,n,2,298.17,4.52,D,0
29.78485,75.98659,334.48,0.45,0.39,2025-10-05,0813,N20,VIIRS,n,2,298.02,4.55,D,0
29.81153,75.96793,331.64,0.45,0.39,2025-10-05,0813,N20,VIIRS,n,2,297.91,2.7,D,0
29.89064,76.1143,333.97,0.46,0.39,2025-10-05,0813,N20,VIIRS,n,2,298.19,3.03,D,0
30.19914,75.99145,339.58,0.46,0.39,2025-10-05,0813,N20,VIIRS,n,2,298.55,3.94,D,0
29.78472,75.08794,340.64,0.42,0.37,2025-10-06,0755,N20,VIIRS,n,2,294.12,6.97,D,0
29.78812,75.08717,354.69,0.42,0.37,2025-10-06,0755,N20,VIIRS,n,2,295.83,6.97,D,0
29.78307,75.05737,342.88,0.42,0.37,2025-10-06,0755,N20,VIIRS,n,2,294.51,3.66,D,0
29.78234,75.05311,342.85,0.42,0.37,2025-10-06,0755,N20,VIIRS,n,2,294.17,3.66,D,0
29.78502,75.04807,356.25,0.42,0.38,2025-10-06,0755,N20,VIIRS,n,2,296.15,13.41,D,0
29.78574,75.05235,356.52,0.42,0.37,2025-10-06,0755,N20,VIIRS,l,2,296.65,7.42,D,0
29.78987,75.05584,347.73,0.42,0.37,2025-10-06,0755,N20,VIIRS,n,2,294.82,7.42,D,0
30.05647,75.06976,347.23,0.41,0.37,2025-10-06,0755,N20,VIIRS,n,2,294.9,6.05,D,0
30.05986,75.06899,331.96,0.41,0.37,2025-10-06,0755,N20,VIIRS,n,2,294.36,2.03,D,0
29.63078,75.98431,333.61,0.38,0.36,2025-10-11,0801,N20,VIIRS,n,2,301.78,1.9,D,0
29.65539,75.35033,330.34,0.39,0.36,2025-10-11,0801,N20,VIIRS,n,2,298.72,1.93,D,0
30.49711,75.93646,346.49,0.38,0.36,2025-10-11,0801,N20,VIIRS,n,2,302.34,4.88,D,0
30.10147,75.95094,338.76,0.62,0.54,2025-10-13,0723,N20,VIIRS,n,2,301.18,10.49,D,0
30.21504,75.31666,340.18,0.38,0.59,2025-10-14,0845,N20,VIIRS,n,2,297.48,3.05,D,0
29.85327,76.1269,344.44,0.44,0.46,2025-10-15,0826,N20,VIIRS,n,2,303.14,6.56,D,0
29.84515,76.14574,334.12,0.4,0.37,2025-10-16,0807,N20,VIIRS,n,2,303.05,5.13,D,0
29.84457,76.14159,333.38,0.4,0.37,2025-10-16,0807,N20,VIIRS,l,2,304.81,3.11,D,0
29.84795,76.14098,334.23,0.4,0.37,2025-10-16,0807,N20,VIIRS,n,2,303.33,3.11,D,0
29.80225,76.00471,337.39,0.44,0.38,2025-10-17,0748,N20,VIIRS,n,2,304.39,4.16,D,0
29.8292,75.89053,344.52,0.44,0.39,2025-10-17,0748,N20,VIIRS,n,2,306.95,16.34,D,0
30.08471,76.46263,338.88,0.42,0.38,2025-10-17,0748,N20,VIIRS,n,2,306.07,3.6,D,0
30.43985,76.29572,330.35,0.42,0.38,2025-10-17,0748,N20,VIIRS,n,2,303.46,1.7,D,0
30.45531,76.09606,330.36,0.43,0.38,2025-10-17,0748,N20,VIIRS,n,2,304.6,1.92,D,0
29.61365,75.90078,332.13,0.52,0.5,2025-10-18,0729,N20,VIIRS,n,2,301.49,1.84,D,0
29.92807,76.16788,350.98,0.47,0.64,2025-10-19,0711,N20,VIIRS,n,2,301.2,4.82,D,0
29.92689,76.165,338.33,0.47,0.64,2025-10-19,0711,N20,VIIRS,n,2,301.35,4.97,D,0
29.62736,75.94775,332.69,0.51,0.66,2025-10-19,0851,N20,VIIRS,n,2,299.11,3.25,D,0
29.81916,75.75153,343.74,0.5,0.66,2025-10-19,0851,N20,VIIRS,n,2,301.31,5.31,D,0
30.52027,76.49154,333.7,0.56,0.69,2025-10-19,0851,N20,VIIRS,n,2,302.33,4.9,D,0
