latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,label,cluster_id,distinct_days,distance_to_industrial_m,distance_to_farmland_m,historical_mean_frp,historical_max_frp,historical_std_frp,frp_deviation,night_detection_ratio,class_label,ndvi,ndbi,ndwi,alert_high_frp,alert_new_cluster
30.20249,75.99736,332.01,0.43,0.38,2025-10-01,748,N20,VIIRS,n,2,298.99,2.75,D,0,unclassified,-1,0,6116.3,4408.4,,,,,,Natural Fire,unavailable,unavailable,unavailable,0,0
29.60012,76.00414,341.04,0.45,0.39,2025-10-05,813,N20,VIIRS,n,2,300.03,5.12,D,0,unclassified,-1,0,9725.0,7321.6,,,,,,Natural Fire,unavailable,unavailable,unavailable,0,0
29.7611,76.00002,330.6,0.45,0.39,2025-10-05,813,N20,VIIRS,n,2,298.17,4.52,D,0,unclassified,-1,0,9298.9,2551.4,,,,,,Natural Fire,unavailable,unavailable,unavailable,0,0
29.78485,75.98659,334.48,0.45,0.39,2025-10-05,813,N20,VIIRS,n,2,298.02,4.55,D,0,unclassified,-1,0,6378.3,1547.9,,,,,,Agricultural Burning,unavailable,unavailable,unavailable,0,0
29.81153,75.96793,331.64,0.45,0.39,2025-10-05,813,N20,VIIRS,n,2,297.91,2.7,D,0,unclassified,-1,0,2918.3,286.5,,,,,,Agricultural Burning,unavailable,unavailable,unavailable,0,0
29.89064,76.1143,333.97,0.46,0.39,2025-10-05,813,N20,VIIRS,n,2,298.19,3.03,D,0,unclassified,-1,0,6969.1,12318.4,,,,,,Natural Fire,unavailable,unavailable,unavailable,0,0
30.19914,75.99145,339.58,0.46,0.39,2025-10-05,813,N20,VIIRS,n,2,298.55,3.94,D,0,unclassified,-1,0,6245.5,3892.3,,,,,,Natural Fire,unavailable,unavailable,unavailable,0,0
30.05647,75.06976,347.23,0.41,0.37,2025-10-06,755,N20,VIIRS,n,2,294.9,6.05,D,0,unclassified,0,1,2758.6,38407.8,4.04,6.05,2.842569260369921,1.4975,0.0,Natural Fire,unavailable,unavailable,unavailable,0,0
29.78987,75.05584,347.73,0.42,0.37,2025-10-06,755,N20,VIIRS,n,2,294.82,7.42,D,0,unclassified,-1,0,2708.6,27654.8,,,,,,Natural Fire,unavailable,unavailable,unavailable,0,0
29.78574,75.05235,356.52,0.42,0.37,2025-10-06,755,N20,VIIRS,l,2,296.65,7.42,D,0,unclassified,1,1,3030.4,28019.4,7.0375,13.41,4.603262430059793,1.0544,0.0,Natural Fire,unavailable,unavailable,unavailable,0,0
